level,segment,metric,eligible,reason,coverage,non_neutral_ratio,source_count,row_count,std_dev,avg,single_metric_top1,single_metric_winner_top3,single_metric_mae,single_metric_rho,single_metric_ndcg5
group,GLOBAL,degree_avg,True,eligible,1.0,1.0,7,7,32.6313,22.0143,0,0,2.29,-0.321,0.631
group,GLOBAL,degree_trend,True,eligible,1.0,0.2857,7,7,2.9763,48.2857,0,1,2.57,-0.036,0.734
group,GLOBAL,degree_stability,True,eligible,1.0,1.0,7,7,34.6971,84.8286,0,1,2.29,0.071,0.734
group,GLOBAL,form_trend,True,eligible,1.0,0.8571,7,7,12.4393,60.1429,0,0,3.43,-0.75,0.511
group,GLOBAL,track_suit,False,low_signal,1.0,0.0,7,7,0.0,50.0,0,0,3.43,-0.857,0.511
group,GLOBAL,track_experience_score,False,low_coverage,0.0,0.0,0,7,0.0,50.0,0,0,3.43,-0.857,0.511
group,GLOBAL,surface_transition_score,False,low_coverage,0.0,0.0,0,7,0.0,50.0,0,0,3.43,-0.857,0.511
group,GLOBAL,distance_suit,True,eligible,1.0,1.0,7,7,28.2576,55.2857,0,0,3.43,-0.821,0.521
group,GLOBAL,distance_transition_score,False,low_coverage,0.0,0.0,0,7,0.0,50.0,0,0,3.43,-0.857,0.511
group,GLOBAL,training_fitness,True,eligible,1.0,1.0,7,7,12.4012,80.9,0,0,1.71,0.321,0.756
group,GLOBAL,training_degree_score,True,eligible,1.0,1.0,7,7,6.0914,24.5286,0,0,2.86,-0.286,0.602
group,GLOBAL,weight_impact,True,eligible,1.0,1.0,7,7,24.3297,42.3286,0,0,3.14,-0.536,0.596
group,GLOBAL,handicap_efficiency_score,False,low_coverage,0.0,0.0,0,7,0.0,50.0,0,0,3.43,-0.857,0.511
group,GLOBAL,handicap_class_transition_score,False,low_coverage,0.0,0.0,0,7,0.0,50.0,0,0,3.43,-0.857,0.511
group,GLOBAL,running_style_proxy_score,False,low_coverage,0.0,0.0,0,7,0.0,50.0,0,0,3.43,-0.857,0.511
group,GLOBAL,jockey_score,True,eligible,1.0,0.8571,7,7,12.3176,39.7,1,1,2,0.25,0.8
group,GLOBAL,bounce_score,True,eligible,1.0,1.0,7,7,28.9616,54.2857,0,1,2.57,-0.143,0.677
group,GLOBAL,pace_score,True,eligible,1.0,0.7143,7,7,6.7763,49.2857,0,0,3.43,-0.857,0.53
group,GLOBAL,pedigree,False,low_signal,1.0,0.0,7,7,0.0,50.0,0,0,3.43,-0.857,0.511
group,GLOBAL,hp_score,False,low_signal,1.0,0.0,7,7,0.0,50.0,0,0,3.43,-0.857,0.511
group,GLOBAL,trainer_score,False,low_signal,1.0,0.0,7,7,0.0,50.0,0,0,3.43,-0.857,0.511
group,GLOBAL,agf_score,False,agf_disabled_for_segment,1.0,0.0,7,7,0.0,50.0,0,0,3.43,-0.857,0.511
group,GLOBAL,age_score,False,low_coverage,0.0,0.0,0,7,0.0,50.0,0,0,3.43,-0.857,0.511
group,GRUP,degree_avg,True,eligible,1.0,0.9892,186,186,36.7989,54.1559,2,8,3.24,-0.018,0.68
group,GRUP,degree_trend,True,eligible,1.0,0.8065,186,186,22.6082,49.5462,0,5,3.19,0.021,0.674
group,GRUP,degree_stability,True,eligible,1.0,0.9785,186,186,34.6941,36.8538,3,6,3.02,0.037,0.691
group,GRUP,form_trend,True,eligible,1.0,0.9839,186,186,13.0935,67.5505,1,6,2.94,0.135,0.692
group,GRUP,track_suit,True,eligible,1.0,0.5538,186,186,17.8872,53.55,5,8,3.01,0.154,0.731
group,GRUP,track_experience_score,True,eligible,0.3817,0.371,71,186,14.889,52.636,5,9,2.82,0.208,0.739
group,GRUP,surface_transition_score,False,low_coverage,0.0376,0.0376,7,186,6.0688,50.9409,2,8,2.86,0.212,0.728
group,GRUP,distance_suit,True,eligible,1.0,0.871,186,186,18.8493,70.7145,4,10,2.85,0.157,0.711
group,GRUP,distance_transition_score,False,low_coverage,0.0376,0.0376,7,186,6.258,51.0876,2,8,2.91,0.18,0.724
group,GRUP,training_fitness,True,eligible,0.9839,0.9785,183,186,13.3875,84.4312,3,6,3.17,0.036,0.687
group,GRUP,training_degree_score,True,eligible,0.957,0.9355,178,186,20.307,35.4478,4,8,2.99,0.097,0.705
group,GRUP,weight_impact,True,eligible,1.0,0.5376,186,186,8.1593,47.1495,1,8,2.7,0.255,0.76
