race_id,race_date,race_no,race_type,category,profile,horse_count,status,ideal_weight_json
224907,,,,GLOBAL,GLOBAL,7,ok,"{""bounce_score"": 29.895, ""degree_stability"": 49.826, ""degree_trend"": 1.844, ""jockey_score"": 7.657, ""training_fitness"": 10.779}"
224908,09.05.2026,1,Handikap 16/DHÖW /H2,HANDIKAP,HANDIKAP16|Kum,10,ok,"{""degree_avg"": 21.615, ""degree_stability"": 9.207, ""distance_suit"": 6.17, ""form_trend"": 30.482, ""pace_score"": 16.725, ""training_fitness"": 2.655, ""weight_impact"": 13.146}"
224911,09.05.2026,1,Handikap 15/DHÖW /H2,HANDIKAP,HANDIKAP15|Kum,12,ok,"{""bounce_score"": 1.003, ""degree_stability"": 35.67, ""degree_trend"": 8.958, ""distance_suit"": 10.863, ""form_trend"": 9.573, ""hp_score"": 21.636, ""jockey_score"": 0.944, ""pace_score"": 2.546, ""pedigree"": 0.565, ""training_degree_score"": 8.242}"
224897,09.05.2026,2,Maiden,MAIDEN,MAIDEN,8,ok,"{""degree_avg"": 42.225, ""degree_stability"": 19.797, ""distance_suit"": 16.064, ""form_trend"": 10.374, ""pace_score"": 7.353, ""pedigree"": 1.98, ""training_fitness"": 2.206}"
224899,09.05.2026,2,ŞARTLI 1,SARTLI,SART1,6,insufficient_signal,{}
224902,09.05.2026,3,Handikap 15 /H2,HANDIKAP,HANDIKAP15|Kum,6,ok,"{""degree_stability"": 2.79, ""degree_trend"": 95.027, ""training_degree_score"": 2.183}"
224904,09.05.2026,3,ŞARTLI 5,SARTLI,SART5,5,ok,"{""bounce_score"": 16.384, ""degree_avg"": 10.366, ""degree_trend"": 0.477, ""distance_suit"": 3.321, ""form_trend"": 5.004, ""hp_score"": 38.948, ""jockey_score"": 6.464, ""training_degree_score"": 3.396, ""training_fitness"": 5.585, ""weight_impact"": 10.054}"
224912,09.05.2026,4,SATIŞ 3/DHÖW,SATIS,SATIS,9,ok,"{""bounce_score"": 47.439, ""distance_suit"": 8.032, ""jockey_score"": 0.334, ""training_degree_score"": 15.558, ""training_fitness"": 9.164, ""weight_impact"": 19.472}"
224913,09.05.2026,4,ŞARTLI 4/DHÖW/Y2,SARTLI,SART4,12,ok,"{""weight_impact"": 100.0}"
224906,09.05.2026,5,Handikap 14 /H2,HANDIKAP,HANDIKAP14|Kum,14,ok,"{""bounce_score"": 8.948, ""degree_stability"": 19.938, ""degree_trend"": 6.432, ""distance_suit"": 11.574, ""form_trend"": 13.638, ""hp_score"": 17.206, ""pace_score"": 3.013, ""training_degree_score"": 17.04, ""training_fitness"": 2.21}"
224910,09.05.2026,5,ŞARTLI 5/DHÖW,SARTLI,SART5,6,ok,"{""bounce_score"": 10.758, ""degree_avg"": 15.577, ""degree_stability"": 23.261, ""degree_trend"": 2.182, ""distance_suit"": 8.591, ""form_trend"": 9.368, ""hp_score"": 9.752, ""jockey_score"": 19.358, ""pace_score"": 1.153}"
224901,09.05.2026,6,ŞARTLI 4,SARTLI,SART4,6,ok,"{""degree_stability"": 14.509, ""degree_trend"": 17.664, ""distance_suit"": 15.52, ""form_trend"": 8.809, ""hp_score"": 27.139, ""jockey_score"": 6.288, ""pace_score"": 4.404, ""training_degree_score"": 2.253, ""training_fitness"": 3.414}"
224903,09.05.2026,7,ŞARTLI 5/Dişi,SARTLI,SART5,11,ok,"{""bounce_score"": 21.66, ""degree_avg"": 1.014, ""degree_stability"": 6.951, ""degree_trend"": 3.072, ""distance_suit"": 19.071, ""form_trend"": 17.121, ""hp_score"": 19.243, ""pace_score"": 4.43, ""training_fitness"": 0.399, ""weight_impact"": 7.039}"
224909,09.05.2026,7,G 1/DHT,GRUP,GRUP,11,ok,"{""bounce_score"": 17.288, ""degree_avg"": 19.251, ""distance_suit"": 21.738, ""form_trend"": 18.369, ""jockey_score"": 19.451, ""training_degree_score"": 0.022, ""training_fitness"": 3.881}"
224898,09.05.2026,8,Maiden,MAIDEN,MAIDEN,8,ok,"{""bounce_score"": 24.07, ""degree_avg"": 26.918, ""degree_stability"": 17.925, ""distance_suit"": 2.151, ""pedigree"": 1.792, ""training_degree_score"": 1.152, ""training_fitness"": 20.306, ""weight_impact"": 5.685}"
224900,09.05.2026,8,ŞARTLI 1,SARTLI,SART1,6,insufficient_signal,{}
224905,09.05.2026,9,Handikap 15/Dişi /H2,HANDIKAP,HANDIKAP15|Cim,14,ok,"{""degree_avg"": 17.457, ""degree_stability"": 19.903, ""degree_trend"": 0.688, ""distance_suit"": 10.619, ""form_trend"": 6.363, ""hp_score"": 34.102, ""jockey_score"": 6.08, ""pace_score"": 4.789}"
